Dept_Code,Dept_Name,Note,M&E_type,BCC_Replacement,Contract_Status,Vendor,Contract_No,Contract_Link,Project_Code,Project_Name,Object_Code,Object_Name,Object_Type,FY2027_Proposed,Fund_code,activity
11141030,Sales and Visitors Center,,,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"594,463.00",111,Economic Environment
11141030,Sales and Visitors Center,Employer payroll taxes include the County's required contributions for Social Security (FICA) and Medicare. Contributions are budgeted using federally established tax rates applicable to eligible employee compensation.,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"45,706.00",111,Economic Environment
11141030,Sales and Visitors Center,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"81,381.00",111,Economic Environment
11141030,Sales and Visitors Center,Employer contributions for employee life and health insurance are budgeted based on the County's adopted benefit plans and applicable coverage elections.,,,,,,,,,523000,Life & Health Insurance,Personnel Services,"141,779.00",111,Economic Environment
11141030,Sales and Visitors Center,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,658.00,111,Economic Environment
11141030,Sales and Visitors Center,,,,,,,,,,531000,Professional Services,Operating Expenditures,"62,750.00",111,Economic Environment
11141030,Sales and Visitors Center,,,,,,,,,,540000,Travel & Per Diem,Operating Expenditures,"47,500.00",111,Economic Environment
11141030,Sales and Visitors Center,,,,,,,,,,542000,Freight & Postage Services,Operating Expenditures,"2,000.00",111,Economic Environment
11141030,Sales and Visitors Center,,,,,,,,,,547000,Printing & Binding,Operating Expenditures,"10,000.00",111,Economic Environment
11141030,Sales and Visitors Center,Joint Media Brand Mission Sales & Marketing,,,Active Contract,"Zehnder, Inc",24-27,https://www.mywaltonfl.gov/DocumentCenter/View/45317/Contract-24-27-Zehnder,10655,Advertising Services,548000,Promotional Activities,Operating Expenditures,"75,000.00",111,Economic Environment
11242000,Solid Waste,General Fund Cost Allocation for services provide to special revenue fund,,,,,,,,,549006,Indirect Admin Allocation,Operating Expenditures,"697,192.00",112,Physical Environment
00101110,Supervisor of Elections,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,0.00,001,General Government
10116001,Public Works,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"75,000.00",101,Transportation
00104000,Planning Short-Term Rental,,,,,,,,10639,Short-Term Rental,555000,Training,Operating Expenditures,"20,000.00",001,General Government
11141000,Tourism Administration,,,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"451,538.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,512007,PTO Buyback,Personnel Services,0.00,111,Economic Environment
11141000,Tourism Administration,Employer payroll taxes include the County's required contributions for Social Security (FICA) and Medicare. Contributions are budgeted using federally established tax rates applicable to eligible employee compensation.,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"35,471.00",111,Economic Environment
11141000,Tourism Administration,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"63,158.00",111,Economic Environment
11141000,Tourism Administration,Employer contributions for employee life and health insurance are budgeted based on the County's adopted benefit plans and applicable coverage elections.,,,,,,,,,523000,Life & Health Insurance,Personnel Services,"80,737.00",111,Economic Environment
11141000,Tourism Administration,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,511.00,111,Economic Environment
11141000,Tourism Administration,South Walton Turtle Watch,,,Active Contract,"South Walton Turtle Watch Group, Inc",17-0709,https://www.mywaltonfl.gov/DocumentCenter/View/45316/Sea-Turtle-Monitoring-Services,,,531000,Professional Services,Operating Expenditures,"85,000.00",111,Economic Environment
11141000,Tourism Administration,State Lobbyist (75/25 split with Tourist Fund),,,Active Contract,"Heffley & Associates, Inc.",25-28,https://www.mywaltonfl.gov/DocumentCenter/View/45313/Lobbying-Services-034,,,531000,Professional Services,Operating Expenditures,"22,000.00",111,Economic Environment
11141000,Tourism Administration,Federal Lobbyist (50/50 split with Tourist Fund),,,New Procurement,,,,,,531000,Professional Services,Operating Expenditures,"48,000.00",111,Economic Environment
11141000,Tourism Administration,State Park Admission Agreement,,,Interlocal Agreement,Florida Department of Environmental Protection,,,,,534000,Other Services,Operating Expenditures,"205,000.00",111,Economic Environment
11141050,Tourism Public Safety,Code Enforcement Beach,,,,,,,10284,,534000,Other Services,Operating Expenditures,"2,245,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,540000,Travel & Per Diem,Operating Expenditures,"10,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,541000,Communication Services,Operating Expenditures,"40,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,542000,Freight & Postage Services,Operating Expenditures,"15,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,543000,Utility Services,Operating Expenditures,"22,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,544000,Rentals & Leases,Operating Expenditures,"25,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,546000,Repair & Maintenance,Operating Expenditures,"1,000.00",111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,547000,Printing & Binding,Operating Expenditures,"5,000.00",111,Economic Environment
11141030,Sales and Visitors Center,4 meeting/2 wedding e-newsletters,,,Active Contract,"Zehnder, Inc",24-27,https://www.mywaltonfl.gov/DocumentCenter/View/45317/Contract-24-27-Zehnder,10655,Advertising Services,548000,Promotional Activities,Operating Expenditures,"10,000.00",111,Economic Environment
10116001,Public Works,,,,,,,,,,549000,Other Current Charges,Operating Expenditures,"50,000.00",101,Transportation
11141090,Beach Tram,General Fund Cost Allocation for services provide to special revenue fund,,,,,,,,,549006,Indirect Admin Allocation,Operating Expenditures,"177,166.00",111,Economic Environment
11141040,Communications,General Fund Cost Allocation for services provide to special revenue fund,,,,,,,,,549006,Indirect Admin Allocation,Operating Expenditures,"57,192.00",111,Economic Environment
11242000,Solid Waste,,,,,,,,,,551000,Office Supplies,Operating Expenditures,"5,000.00",112,Physical Environment
00102030,Code Compliance,UTV,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"19,200.00",001,Public Safety
11141090,Beach Tram,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,"253,000.00",111,Economic Environment
00107020,Procurement,,,,,,,,,,552002,Fuel,Operating Expenditures,"1,500.00",001,General Government
00102000,County Administration,SUV,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"65,000.00",001,General Government
11242000,Solid Waste,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"10,000.00",112,Physical Environment
11242000,Solid Waste,,,,,,,,,,555000,Training,Operating Expenditures,"10,000.00",112,Physical Environment
00109000,Probation Services,,,,,,,,,,541000,Communication Services,Operating Expenditures,"3,000.00",001,Public Safety
00110000,Veteran Services,,,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"206,356.00",001,Economic Environment
00110000,Veteran Services,,,,,,,,,,512007,PTO Buyback,Personnel Services,0.00,001,Economic Environment
00110000,Veteran Services,,,,,,,,,,514000,Overtime,Personnel Services,480.00,001,Economic Environment
00110000,Veteran Services,Employer payroll taxes include the County's required contributions for Social Security (FICA) and Medicare. Contributions are budgeted using federally established tax rates applicable to eligible employee compensation.,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"15,787.00",001,Economic Environment
00110000,Veteran Services,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"28,109.00",001,Economic Environment
00110000,Veteran Services,Employer contributions for employee life and health insurance are budgeted based on the County's adopted benefit plans and applicable coverage elections.,,,,,,,,,523000,Life & Health Insurance,Personnel Services,"47,765.00",001,Economic Environment
00110000,Veteran Services,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,227.00,001,Economic Environment
00110000,Veteran Services,,,,,,,,,,540000,Travel & Per Diem,Operating Expenditures,"4,500.00",001,Economic Environment
00110000,Veteran Services,,,,,,,,,,541000,Communication Services,Operating Expenditures,"1,500.00",001,Economic Environment
00110000,Veteran Services,,,,,,,,,,542000,Freight & Postage Services,Operating Expenditures,150.00,001,Economic Environment
00110000,Veteran Services,,,,,,,,,,544000,Rentals & Leases,Operating Expenditures,"2,000.00",001,Economic Environment
