Dept_Code,Dept_Name,Note,Project_Name,Revenue_Code,Revenue_Name,Revenue_Type,FY2027_Proposed,Fund_code
001311,County Court,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"70,056.00",001
001311,Public Defender,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"254,833.00",001
001311,Non-Profit Funding Program,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"450,000.00",001
001311,Statutory & Other,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"3,247,957.00",001
001311,Walton County Health Department,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"1,724,397.00",001
101312,Engineering Services,,,312410,Local Option Fuel Tax,General Government Taxes,"2,379,118.00",101
001311,Environmental Services,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"640,922.00",001
001329,Environmental Services,"Permit fees collected for the review and administration of coastal armoring projects, including seawalls and similar shoreline protection structures.",,329007,Coastal Armoring Fees,Permits Fees and Special Assessments,"8,000.00",001
001354,Code Compliance,,,354001,Ordinance Fine (Beach Activities),"Judgments, Fines and Forfeits","25,000.00",001
001335,Building Construction and Maintenance,"The Florida Revenue Sharing Act of 1972 was a significant legislative effort to ensure a minimum level of revenue parity across local government units. An allocation formula is used to distribute 2.9 percent of net cigarette tax collections and 2.044 percent of sales and use tax collections among qualifying counties. This formula considers each county's total population, unincorporated population, and sales tax collections to determine its share",,335121,State Revenue Share Proceeds,Intergovernmental Revenues,"792,317.00",001
001335,Building Construction and Maintenance,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"6,350,567.00",001
001335,Extension Office,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"597,319.00",001
001335,Human Resources,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"364,788.00",001
001369,Building Construction and Maintenance,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"278,291.00",001
001311,Code Compliance,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"331,009.00",001
001311,Office of the County Attorney,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"674,542.00",001
001335,Office of the County Attorney,"The Florida Revenue Sharing Act of 1972 was a significant legislative effort to ensure a minimum level of revenue parity across local government units. An allocation formula is used to distribute 2.9 percent of net cigarette tax collections and 2.044 percent of sales and use tax collections among qualifying counties. This formula considers each county's total population, unincorporated population, and sales tax collections to determine its share",,335121,State Revenue Share Proceeds,Intergovernmental Revenues,"933,143.00",001
300381,Interfund Group Transfer In,,,381000,Interfund Group Transfer In,Other Sources,"2,581,997.00",300
001341,Office of the County Attorney,,,341302,Copies and Public Records Request,Charges for Services,"2,500.00",001
001369,Office of the County Attorney,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"192,740.00",001
001311,County Administration,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"1,847,203.00",001
107381,Walton County Sheriff's Office,E911,,381000,Interfund Group Transfer In,Other Sources,"460,000.00",107
001369,County Administration,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"412,836.00",001
001311,Human Resources,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,0.00,001
001335,Human Resources,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"739,165.00",001
001369,Human Resources,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"322,983.00",001
001335,Office of Management and Budget,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"440,670.00",001
001342,Office of Management and Budget,,,342902,Cremation Fees,Charges for Services,"15,000.00",001
001369,Office of Management and Budget,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"619,356.00",001
001335,Procurement,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"864,637.00",001
001369,Procurement,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"211,862.00",001
001335,Eagle Springs Golf and Recreation Center,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"415,555.00",001
001335,Eagle Springs Grill,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"130,000.00",001
001335,Guardian Ad Litem,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"9,000.00",001
001311,Public Defender,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"36,000.00",001
001335,Veteran Services,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"316,650.00",001
001335,Soil Conservation,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"150,000.00",001
107336,Walton County Sheriff's Office,"The State of Florida administers a Payment in Lieu of Taxes (PILT) program to compensate counties for the loss of property tax revenue due to state-owned, tax-exempt lands. This program is particularly relevant for lands acquired under conservation initiatives, such as those outlined in Florida Statutes § 259.032 and § 373.59. ",,336000,State Payment in Lieu of Tax,Intergovernmental Revenues,0.00,107
001335,Probation Services,A state-collected license fee shared with counties to support general government operations in accordance with Florida law.,,335150,Alcoholic Beverage Licenses,Intergovernmental Revenues,"80,000.00",001
001335,Probation Services,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"75,577.00",001
001335,Recreation,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"653,393.00",001
001311,State Attorney,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,0.00,001
001334,Emergency Management,,,334200,State Grant (Public Safety),Intergovernmental Revenues,,001
107334,Walton County Sheriff's Office,,,334200,State Grant (Public Safety),Intergovernmental Revenues,0.00,107
107369,Walton County Sheriff's Office,,,369901,Indirect Administrative Fees,Miscellaneous Revenue,0.00,107
001335,Emergency Management,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"912,455.00",001
001342,Emergency Management,,,342903,EOC Plan Review Fee,Charges for Services,0.00,001
107389,Walton County Sheriff's Office,,,386600,Surplus Budget Sheriff,Other Sources,0.00,107
001311,Libraries,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,0.00,001
001335,Libraries,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"2,134,655.00",001
001311,Extension Office,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,0.00,001
001311,Planning,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"1,195,917.00",001
001335,Planning,"A state-collected half-cent sales tax distributed to counties and municipalities to support general government operations, infrastructure,  parks, and other local services.",,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"2,332,194.00",001
001311,State Attorney,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"297,111.00",001
101381,Mossy Head Wastewater Treatment Facility,Small County Surtax,,381000,Interfund Group Transfer In,Other Sources,"379,000.00",101
